                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.6671,                 1.1775,                 1.2805,                 0.5691,                0.92857,                0.80049,                0.46861,                  1.457,                 1.2004,                 1.2253,              0.0012338,              0.0012338,              0.0012338
                    108,                 1.5917,                 1.1999,                 1.2937,                0.65464,                0.89554,                0.78439,                0.48275,                 1.3709,                 1.0329,                 1.2059,              0.0012297,              0.0012297,              0.0012297
                    109,                 1.6578,                 1.1826,                 1.2901,                0.73417,                0.66071,                0.83168,                0.52889,                 1.3532,                 1.0623,                 1.2204,              0.0012255,              0.0012255,              0.0012255
                    110,                 1.6457,                 1.1538,                 1.2901,                0.71083,                0.79708,                0.91687,                0.51363,                 1.5029,                 1.1622,                 1.3077,              0.0012214,              0.0012214,              0.0012214
                    111,                 1.6901,                 1.1615,                 1.2692,                0.66634,                0.78571,                0.85517,                0.42452,                 1.7197,                 1.2421,                 1.3863,              0.0012173,              0.0012173,              0.0012173
                    112,                 1.5554,                 1.0866,                 1.2698,                0.55678,                0.78571,                  0.814,                0.43673,                 1.4975,                 1.3272,                 1.2868,              0.0012132,              0.0012132,              0.0012132
                    113,                 1.7286,                 1.1581,                 1.3745,                0.50312,                0.86775,                0.79749,                 0.4466,                 1.4165,                  1.361,                 1.2382,               0.001209,               0.001209,               0.001209
                    114,                 1.7324,                 1.1893,                 1.3379,                0.49115,                0.83397,                 0.6533,                0.37548,                 1.5065,                 1.6564,                 1.2633,              0.0012049,              0.0012049,              0.0012049
                    115,                 1.7371,                 1.1585,                 1.3349,                0.35784,                0.64286,                0.51846,                0.33452,                 1.3798,                 1.8119,                 1.1973,              0.0012008,              0.0012008,              0.0012008
                    116,                 1.6318,                 1.1617,                  1.275,                0.50509,                0.85714,                0.59584,                0.35576,                 1.2971,                 1.6615,                 1.1693,              0.0011967,              0.0011967,              0.0011967
                    117,                 1.5562,                 1.1156,                 1.2434,                0.60842,                0.92857,                0.74383,                0.46761,                 1.2347,                 1.3261,                 1.1477,              0.0011925,              0.0011925,              0.0011925
                    118,                  1.666,                 1.0964,                 1.2786,                0.63519,                0.93663,                0.78371,                0.48173,                 1.2515,                 1.2717,                 1.1739,              0.0011884,              0.0011884,              0.0011884
                    119,                  1.578,                 1.1226,                 1.2726,                0.75001,                0.98496,                0.91944,                0.49778,                 1.4517,                 1.1043,                 1.2643,              0.0011843,              0.0011843,              0.0011843
                    120,                 1.6252,                 1.1076,                 1.2661,                0.77248,                0.92857,                0.87597,                0.49856,                   1.55,                 1.0478,                 1.3414,              0.0011802,              0.0011802,              0.0011802
                    121,                 1.6249,                 1.1667,                 1.3001,                0.68081,                0.92349,                 0.8472,                0.49572,                 1.4924,                 1.0484,                 1.2903,               0.001176,               0.001176,               0.001176
                    122,                 1.5138,                 1.1305,                  1.265,                0.84713,                0.61653,                0.80434,                0.49937,                 1.4649,                   1.15,                 1.2544,              0.0011719,              0.0011719,              0.0011719
                    123,                 1.5972,                  1.032,                 1.2432,                0.73224,                0.72083,                0.79424,                0.51059,                 1.3307,                 1.0732,                 1.2145,              0.0011678,              0.0011678,              0.0011678
